runId,capturedAt,tick,fromStateId,fromPageType,fromUrl,candidateRank,candidateCount,actionId,actionType,actionLabel,actionSelector,actionIndex,actionScore,selected
"20260619-164811","2026-06-19T16:48:17.169840800",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",1,47,"click_button_0_장바구니","click","🛒 장바구니","button",0,14.0,true
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",2,47,"click_button_1_도서_탐색하기","click","📚 도서 탐색하기","button",1,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",3,47,"click_button_2_전체","click","전체","button",2,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",4,47,"click_button_3_소설","click","소설","button",3,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",5,47,"click_button_4_에세이","click","에세이","button",4,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",6,47,"click_button_5_컴퓨터it","click","컴퓨터/IT","button",5,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",7,47,"click_button_6_경제경영","click","경제/경영","button",6,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",8,47,"click_button_7_역사","click","역사","button",7,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",9,47,"click_button_8_자기계발","click","자기계발","button",8,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",10,47,"click_button_9_과학","click","과학","button",9,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",11,47,"click_button_10_구매하기","click","구매하기","button",10,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",12,47,"click_button_11_구매하기","click","구매하기","button",11,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",13,47,"click_button_12_구매하기","click","구매하기","button",12,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",14,47,"click_button_13_구매하기","click","구매하기","button",13,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",15,47,"click_button_14_구매하기","click","구매하기","button",14,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",16,47,"click_button_15_담기","click","담기","button",15,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",17,47,"click_button_16_담기","click","담기","button",16,10.0,false
"20260619-164811","2026-06-19T16:48:17.170663400",1,"5ddd7051-5201-4932-a6a6-7b99737bcbec","general","http://localhost:3000/",18,47,"click_button_17_담기","click","담기","button",17,10.0,false
